SampleID,Site,Subsite,rep,Depth,Date,pH,WT,WT_Level,WT_value,Type,d13CH4,d13CO2,alpha,CH4mM,CO2mM
S1A_10_a_J23,S1,A,a,10,July_23,4.1,23.5,Above,13.5,Bog,-72.7,-1.3,1.077018804,0.5,4
S1A_10_b_J23,S1,A,b,10,July_23,4.1,23.5,Above,13.5,Bog,,-21.156,,,0.852390948
S1A_10_c_J23,S1,A,c,10,July_23,4.1,23.5,Above,13.5,Bog,,,,,
S1B_10_a_J23,S1,B,a,10,July_23,3.54,25.7,Above,15.7,Bog,-72.1,-10.8,1.066130604,0.2,3
S1B_10_b_J23,S1,B,b,10,July_23,3.54,25.7,Above,15.7,Bog,-67.449,-17.068,1.054024927,0.133328617,2.592995573
S1B_10_c_J23,S1,B,c,10,July_23,3.54,25.7,Above,15.7,Bog,,,,,
S1C_10_a_J23,S1,C,a,10,July_23,3.83,28,Above,18,Bog,,,,,
S1C_10_b_J23,S1,C,b,10,July_23,3.83,28,Above,18,Bog,-66.592,-11.2,1.059343824,0.235297902,2.911929283
S1C_10_c_J23,S1,C,c,10,July_23,3.83,28,Above,18,Bog,-72.4,-8.2,1.06917942,0.2,3.1
S3_A_a,S3,A,a,10,July_23,6.19,0,Below,-10,Fen,-68.675,-17.328,1.055133278,0.115816375,3.372281736
S3_A_b,S3,A,b,10,July_23,6.19,0,Below,-10,Fen,-68.289,-17.448,1.05456735,0.105107895,3.520219244
S3_A_c,S3,A,c,10,July_23,6.19,0,Below,-10,Fen,-61.45,-18.263,1.046014597,0.053268572,2.83814882
S3_B_a,S3,B,a,10,July_23,6.34,0,Below,-10,Fen,-66.363,-16.616,1.053283021,0.041909267,2.589570765
S3_B_b,S3,B,b,10,July_23,6.34,0,Below,-10,Fen,-65.54,-16.012,1.053001734,0.043291124,2.661446415
S3_B_c,S3,B,c,10,July_23,6.34,0,Below,-10,Fen,-65.888,-15.778,1.053644531,0.044681912,2.626388615
S3_C_a,S3,C,a,10,July_23,6.4,0,Below,-10,Fen,,-15.565,,,2.911827518
S3_C_b,S3,C,b,10,July_23,6.4,0,Below,-10,Fen,-67.386,-15.459,1.055678984,0.005505562,2.709617956
S3_C_c,S3,C,c,10,July_23,6.4,0,Below,-10,Fen,-60.793,-14.893,1.048871016,0.006835335,2.832124765
BLF_A_a,BLF,A,a,10,July_23,4.02,13,Above,3,Fen,-54.2,-6.806,1.05010996,0.263922188,3.56796807
BLF_A_b,BLF,A,b,10,July_23,4.02,13,Above,3,Fen,,,,,
BLF_A_c,BLF,A,c,10,July_23,4.02,13,Above,3,Fen,,,,,
BLF_B_a,BLF,B,a,10,July_23,3.9,18,Above,8,Fen,-56.167,-5.392,1.053796593,0.330284372,3.680764504
BLF_B_b,BLF,B,b,10,July_23,3.9,18,Above,8,Fen,,,,,
BLF_B_c,BLF,B,c,10,July_23,3.9,18,Above,8,Fen,,,,,
BLF_C_a,BLF,C,a,10,July_23,3.8,15,Above,5,Fen,-59.273,1.271,1.064358735,0.594948437,4.109311872
BLF_C_b,BLF,C,b,10,July_23,3.8,15,Above,5,Fen,,,,,
BLF_C_c,BLF,C,c,10,July_23,3.8,15,Above,5,Fen,,,,,
US2_A_a,US2,A,a,10,July_23,5.18,18,Above,8,Fen,-52.698,-17.567,1.037085322,0.09522837,1.878232949
US2_A_b,US2,A,b,10,July_23,5.18,18,Above,8,Fen,-51.979,-17.095,1.036796653,0.102638944,1.938205441
US2_A_c,US2,A,c,10,July_23,5.18,18,Above,8,Fen,-50.63,-17.377,1.035026386,0.087092618,1.868385489
US2_B_a,US2,B,a,10,July_23,5.7,12,Above,2,Fen,-52.42,-18.707,1.035577999,0.083363519,2.29233551
US2_B_b,US2,B,b,10,July_23,5.7,12,Above,2,Fen,-52.903,-18.361,1.036471449,0.077407155,2.195144338
US2_B_c,US2,B,c,10,July_23,5.7,12,Above,2,Fen,-52.305,-18.351,1.035827983,0.082941929,2.21155697
US2_C_a,US2,C,a,10,July_23,4.44,11,Above,1,Fen,-53.736,-15.691,1.040205482,0.192711164,2.863590278
US2_C_b,US2,C,b,10,July_23,4.44,11,Above,1,Fen,-53.627,-15.65,1.040128998,0.181703309,2.925427624
US2_C_c,US2,C,c,10,July_23,4.44,11,Above,1,Fen,-53.263,-15.731,1.039643534,0.211606536,3.194937648
LC_A_a,LC,A,a,10,July_23,5.71,10,Above,0,Shrub Wetland,-51.891,-13.546,1.040443662,0.17731363,2.631491535
LC_A_b,LC,A,b,10,July_23,5.71,10,Above,0,Shrub Wetland,-53.181,-13.149,1.04228052,0.098623218,2.194742311
LC_A_c,LC,A,c,10,July_23,5.71,10,Above,0,Shrub Wetland,-48.632,-13.988,1.036414931,0.091766728,2.351031439
LC_B_a,LC,B,a,10,July_23,5.46,15,Above,5,Shrub Wetland,-52.51,-14.171,1.040463752,0.18201091,2.436045825
LC_B_b,LC,B,b,10,July_23,5.46,15,Above,5,Shrub Wetland,-52.487,-13.912,1.040711842,0.156088267,2.276825387
LC_B_c,LC,B,c,10,July_23,5.46,15,Above,5,Shrub Wetland,-52.619,-14.373,1.040370242,0.192136136,2.362621086
LC_C_a,LC,C,a,10,July_23,5.52,10,Above,0,Shrub Wetland,-50.932,-15.394,1.037445157,0.147737691,2.374486759
LC_C_b,LC,C,b,10,July_23,5.52,10,Above,0,Shrub Wetland,-50.75,-15.884,1.03673005,0.101822021,1.858537561
LC_C_c,LC,C,c,10,July_23,5.52,10,Above,0,Shrub Wetland,-51.459,-15.899,1.037489154,0.1130944,1.825284901
