SampleID,Site,Subsite,rep,Depth,Date,pH,WT,WT_Level,WT_value,Type,latitude,longitude,Elevation
T1A-10-a-J23,T1,A,a,10,July_23,4.1,23.5,Above,13.5,Bog,47.50793333,-93.4527,418
T1A-10-b-J23,T1,A,b,10,July_23,4.1,23.5,Above,13.5,Bog,47.50793333,-93.4527,418
T1A-10-c-J23,T1,A,c,10,July_23,4.1,23.5,Above,13.5,Bog,47.50793333,-93.4527,418
T1B-10-a-J23,T1,B,a,10,July_23,3.54,25.7,Above,15.7,Bog,47.50793333,-93.4527,418
T1B-10-b-J23,T1,B,b,10,July_23,3.54,25.7,Above,15.7,Bog,47.50793333,-93.4527,418
T1B-10-c-J23,T1,B,c,10,July_23,3.54,25.7,Above,15.7,Bog,47.50793333,-93.4527,418
T1C-10-a-J23,T1,C,a,10,July_23,3.83,28,Above,18,Bog,47.50793333,-93.4527,418
T1C-10-b-J23,T1,C,b,10,July_23,3.83,28,Above,18,Bog,47.50793333,-93.4527,418
T1C-10-c-J23,T1,C,c,10,July_23,3.83,28,Above,18,Bog,47.50793333,-93.4527,418
S3-A-a,S3,A,a,10,July_23,6.19,0,Below,-10,Fen,47.5235871,-93.46325419,416
S3-A-b,S3,A,b,10,July_23,6.19,0,Below,-10,Fen,47.5235871,-93.46325419,416
S3-A-c,S3,A,c,10,July_23,6.19,0,Below,-10,Fen,47.5235871,-93.46325419,416
S3-B-a,S3,B,a,10,July_23,6.34,0,Below,-10,Fen,47.5235871,-93.46325419,416
S3-B-b,S3,B,b,10,July_23,6.34,0,Below,-10,Fen,47.5235871,-93.46325419,416
S3-B-c,S3,B,c,10,July_23,6.34,0,Below,-10,Fen,47.5235871,-93.46325419,416
S3-C-a,S3,C,a,10,July_23,6.4,0,Below,-10,Fen,47.5235871,-93.46325419,416
S3-C-b,S3,C,b,10,July_23,6.4,0,Below,-10,Fen,47.5235871,-93.46325419,416
S3-C-c,S3,C,c,10,July_23,6.4,0,Below,-10,Fen,47.5235871,-93.46325419,416
BLF-A-a,BLF,A,a,10,July_23,4.02,13,Above,3,Fen,47.512401,-93.482928,416
BLF-A-b,BLF,A,b,10,July_23,4.02,13,Above,3,Fen,47.512401,-93.482928,416
BLF-A-c,BLF,A,c,10,July_23,4.02,13,Above,3,Fen,47.512401,-93.482928,416
BLF-B-a,BLF,B,a,10,July_23,3.9,18,Above,8,Fen,47.512401,-93.482928,416
BLF-B-b,BLF,B,b,10,July_23,3.9,18,Above,8,Fen,47.512401,-93.482928,416
BLF-B-c,BLF,B,c,10,July_23,3.9,18,Above,8,Fen,47.512401,-93.482928,416
BLF-C-a,BLF,C,a,10,July_23,3.8,15,Above,5,Fen,47.512401,-93.482928,416
BLF-C-b,BLF,C,b,10,July_23,3.8,15,Above,5,Fen,47.512401,-93.482928,416
BLF-C-c,BLF,C,c,10,July_23,3.8,15,Above,5,Fen,47.512401,-93.482928,416
US2-A-a,US2,A,a,10,July_23,5.18,18,Above,8,Fen,46.97813,-92.9997,385
US2-A-b,US2,A,b,10,July_23,5.18,18,Above,8,Fen,46.97813,-92.9997,385
US2-A-c,US2,A,c,10,July_23,5.18,18,Above,8,Fen,46.97813,-92.9997,385
US2-B-a,US2,B,a,10,July_23,5.7,12,Above,2,Fen,46.97813,-92.9997,385
US2-B-b,US2,B,b,10,July_23,5.7,12,Above,2,Fen,46.97813,-92.9997,385
US2-B-c,US2,B,c,10,July_23,5.7,12,Above,2,Fen,46.97813,-92.9997,385
US2-C-a,US2,C,a,10,July_23,4.44,11,Above,1,Fen,46.97813,-92.9997,385
US2-C-b,US2,C,b,10,July_23,4.44,11,Above,1,Fen,46.97813,-92.9997,385
US2-C-c,US2,C,c,10,July_23,4.44,11,Above,1,Fen,46.97813,-92.9997,385
LC-A-a,LC,A,a,10,July_23,5.71,10,Above,0,Shrub Wetland,46.0827,-89.9792,480
LC-A-b,LC,A,b,10,July_23,5.71,10,Above,0,Shrub Wetland,46.0827,-89.9792,480
LC-A-c,LC,A,c,10,July_23,5.71,10,Above,0,Shrub Wetland,46.0827,-89.9792,480
LC-B-a,LC,B,a,10,July_23,5.46,15,Above,5,Shrub Wetland,46.0827,-89.9792,480
LC-B-b,LC,B,b,10,July_23,5.46,15,Above,5,Shrub Wetland,46.0827,-89.9792,480
LC-B-c,LC,B,c,10,July_23,5.46,15,Above,5,Shrub Wetland,46.0827,-89.9792,480
LC-C-a,LC,C,a,10,July_23,5.52,10,Above,0,Shrub Wetland,46.0827,-89.9792,480
LC-C-b,LC,C,b,10,July_23,5.52,10,Above,0,Shrub Wetland,46.0827,-89.9792,480
LC-C-c,LC,C,c,10,July_23,5.52,10,Above,0,Shrub Wetland,46.0827,-89.9792,480
